ST,COUNTY ID,COUNTY NAME, BROADBAND AVAILABILITY PER FCC , BROADBAND USAGE 
CO,8029,Delta County, 0.92 , 0.34 
CO,8031,Denver County, 1.00 , 0.65 
CO,8033,Dolores County, 0.11 , 0.14 
CO,8035,Douglas County, 0.98 , 0.94 
CO,8037,Eagle County, 0.84 , 0.61 
CO,8039,Elbert County, 0.80 , 0.20 
CO,8041,El Paso County, 0.94 , 0.68 
CO,8043,Fremont County, 0.84 , 0.43 
CO,8045,Garfield County, 0.80 , 0.47 
CO,8047,Gilpin County, 0.39 , 0.23 
CO,8049,Grand County, 0.70 , 0.46 
CO,8051,Gunnison County, 0.90 , 0.32 
CO,8053,Hinsdale County, 0.45 , 0.06 
CO,8055,Huerfano County, 0.55 , 0.15 
CO,8057,Jackson County, 0.78 , 0.03 
CO,8059,Jefferson County, 0.99 , 0.62 
CO,8061,Kiowa County, 0.53 , 0.04 
CO,8063,Kit Carson County, 0.93 , 0.11 
CO,8065,Lake County, 0.89 , 0.30 
CO,8067,La Plata County, 0.82 , 0.33 
CO,8069,Larimer County, 0.88 , 0.62 
CO,8071,Las Animas County, 0.67 , 0.23 
CO,8073,Lincoln County, 0.19 , 0.20 
CO,8075,Logan County, 0.93 , 0.35 
CO,8077,Mesa County, 0.92 , 0.54 
CO,8079,Mineral County, 0.82 , 0.28 
CO,8081,Moffat County, 0.95 , 0.39 
CO,8083,Montezuma County, 0.58 , 0.16 
CO,8085,Montrose County, 0.93 , 0.49 
CO,8087,Morgan County, 0.86 , 0.37 
CO,8089,Otero County, 0.87 , 0.35 
CO,8091,Ouray County, 1.00 , 0.14 
CO,8093,Park County, 0.59 , 0.12 
CO,8095,Phillips County, 1.00 , 0.29 
CO,8097,Pitkin County, 0.87 , 0.69 
CO,8099,Prowers County, 0.72 , 0.26 
CO,8101,Pueblo County, 0.91 , 0.45 
CO,8103,Rio Blanco County, 0.70 , 0.46 
CO,8105,Rio Grande County, 0.79 , 0.23 
CO,8107,Routt County, 0.96 , 0.42 
CO,8109,Saguache County, 0.71 , 0.10 
CO,8111,San Juan County, 0.40 , 0.23 
CO,8113,San Miguel County, 0.66 , 0.24 
CO,8115,Sedgwick County, 0.78 , 0.14 
CO,8117,Summit County, 0.91 , 0.92 
CO,8119,Teller County, 0.78 , 0.27 
CO,8121,Washington County, 0.81 , 0.07 
CO,8123,Weld County, 0.79 , 0.59 
CO,8125,Yuma County, 0.98 , 0.19 
CT,9001,Fairfield County, 1.00 , 0.58 
CT,9003,Hartford County, 0.99 , 0.54 
CT,9005,Litchfield County, 1.00 , 0.53 
CT,9007,Middlesex County, 0.99 , 0.55 
CT,9009,New Haven County, 0.99 , 0.46 
CT,9011,New London County, 0.98 , 0.50 
CT,9013,Tolland County, 0.97 , 0.59 
CT,9015,Windham County, 0.99 , 0.49 
DE,10001,Kent County, 0.96 , 0.60 
DE,10003,New Castle County, 0.98 , 0.70 
DE,10005,Sussex County, 0.97 , 0.54 
DC,11001,District of Columbia, 0.98 , 0.59 
FL,12001,Alachua County, 0.84 , 0.43 
FL,12003,Baker County, 0.84 , 0.26 
FL,12005,Bay County, 0.94 , 0.52 
FL,12007,Bradford County, 1.00 , 0.09 
FL,12009,Brevard County, 1.00 , 0.60 
FL,12011,Broward County, 0.98 , 0.63 
FL,12013,Calhoun County, 0.70 , 0.09 
FL,12015,Charlotte County, 0.90 , 0.52 
FL,12017,Citrus County, 0.94 , 0.57 
FL,12019,Clay County, 1.00 , 0.56 
FL,12021,Collier County, 0.95 , 0.60 
FL,12023,Columbia County, 0.82 , 0.34 
FL,12027,DeSoto County, 0.67 , 0.09 
FL,12029,Dixie County, 0.01 , 0.02 
FL,12031,Duval County, 1.00 , 0.55 
FL,12033,Escambia County, 0.96 , 0.45 
FL,12035,Flagler County, 0.96 , 0.59 
FL,12037,Franklin County, 0.96 , 0.27 
FL,12039,Gadsden County, 0.89 , 0.13 
FL,12041,Gilchrist County, 0.23 , 0.04 
FL,12043,Glades County, 0.73 , 0.05 
FL,12045,Gulf County, 0.89 , 0.23 
FL,12047,Hamilton County, 0.59 , 0.05 
FL,12049,Hardee County, 0.94 , 0.09 
FL,12051,Hendry County, 0.77 , 0.23 
FL,12053,Hernando County, 0.98 , 0.63 
FL,12055,Highlands County, 0.87 , 0.29 
FL,12057,Hillsborough County, 1.00 , 0.66 
FL,12059,Holmes County, 0.41 , 0.07 
FL,12061,Indian River County, 1.00 , 0.59 
FL,12063,Jackson County, 0.53 , 0.12 
FL,12065,Jefferson County, 0.29 , 0.06 
FL,12067,Lafayette County, 0.51 , 0.04 
FL,12069,Lake County, 1.00 , 0.54 
FL,12071,Lee County, 0.92 , 0.57 
FL,12073,Leon County, 0.95 , 0.43 
FL,12075,Levy County, 0.20 , 0.05 
FL,12077,Liberty County, 0.33 , 0.09 
FL,12079,Madison County, 0.63 , 0.08 
FL,12081,Manatee County, 0.99 , 0.64 
FL,12083,Marion County, 0.92 , 0.41 
FL,12085,Martin County, 1.00 , 0.56 
FL,12086,Miami-Dade County, 0.96 , 0.57 
FL,12087,Monroe County, 0.95 , 0.51 
FL,12089,Nassau County, 0.91 , 0.53 
FL,12091,Okaloosa County, 0.92 , 0.52 
FL,12093,Okeechobee County, 0.81 , 0.28 
FL,12095,Orange County, 1.00 , 0.71 
FL,12097,Osceola County, 1.00 , 0.68 
FL,12099,Palm Beach County, 0.97 , 0.55 
FL,12101,Pasco County, 0.99 , 0.64 
FL,12103,Pinellas County, 1.00 , 0.59 
FL,12105,Polk County, 0.95 , 0.55 
FL,12107,Putnam County, 0.81 , 0.22 
FL,12109,St. Johns County, 1.00 , 0.77 
FL,12111,St. Lucie County, 1.00 , 0.51 
FL,12113,Santa Rosa County, 0.92 , 0.45 
FL,12115,Sarasota County, 0.97 , 0.68 
FL,12117,Seminole County, 1.00 , 0.68 
FL,12119,Sumter County, 0.92 , 0.47 
FL,12121,Suwannee County, 0.81 , 0.13 
FL,12123,Taylor County, 0.65 , 0.19 
FL,12125,Union County, 0.51 , 0.21 
FL,12127,Volusia County, 1.00 , 0.50 
FL,12129,Wakulla County, 0.93 , 0.29 
FL,12131,Walton County, 0.75 , 0.51 
FL,12133,Washington County, 0.37 , 0.08 
GA,13001,Appling County, 0.48 , 0.09 
GA,13003,Atkinson County, 0.59 , 0.07 
GA,13005,Bacon County, 0.66 , 0.18 
GA,13007,Baker County, 0.02 , 0.02 
GA,13009,Baldwin County, 0.93 , 0.38 
GA,13011,Banks County, 0.69 , 0.12 
GA,13013,Barrow County, 0.99 , 0.59 
GA,13015,Bartow County, 0.95 , 0.41 
GA,13017,Ben Hill County, 0.90 , 0.43 
GA,13019,Berrien County, 0.82 , 0.11 
GA,13021,Bibb County, 0.97 , 0.36 
GA,13023,Bleckley County, 0.43 , 0.13 
GA,13025,Brantley County, 1.00 , 0.20 
GA,13027,Brooks County, 0.79 , 0.09 
GA,13029,Bryan County, 0.96 , 0.56 
GA,13031,Bulloch County, 0.98 , 0.38 
GA,13033,Burke County, 0.72 , 0.20 
GA,13035,Butts County, 0.78 , 0.19 
GA,13037,Calhoun County, 0.42 , 0.05 
GA,13039,Camden County, 0.94 , 0.44 
GA,13043,Candler County, 1.00 , 0.43 
GA,13045,Carroll County, 0.92 , 0.33 
GA,13047,Catoosa County, 0.99 , 0.37 
GA,13049,Charlton County, 0.60 , 0.03 
